Twitter Handle (uden @)
greenpeacedk
Klimabev
klimamarchen
ExtinctionRDK
XRAarhus
Guerillagruppen
DenGroenneStud
klimastrejke
Daniel_Hauberg
Energistyr
Miljostyrelsen
GrunnetKristine
OrstedDK
EuropeanEnergy_
danishcrown
arladanmark
DanskEnergi
