Twitter Handle (uden @)
Altingetdk 
btdk
berlingske
borsendk
DRNyheder
EkstraBladet
informeren
ingdk
Jyllandsposten
klimanytdk
kristeligt
politiken
Solidaritetdk
tv2newsdk
Klimamonitor
BenedikteDe
EmborgJens
