Twitter Handle (uden @)
WWFdk
DanmarksNatur
CARE_Danmark
NOAH_dk
MHGottlieb
Spolitik
venstredk
DanskDf1995
radikale
SFpolitik
Enhedslisten
KonservativeDK
NyeBorgerlige
LiberalAlliance
alternativet_
NytMomentum
friegronne
